"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 06:57:46 UTC 2023","Sun Jul 30 06:57:49 UTC 2023","2828","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sun Jul 30 06:58:31 UTC 2023","Sun Jul 30 06:58:33 UTC 2023","2364","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"broken","Sun Jul 30 06:52:07 UTC 2023","Sun Jul 30 06:52:07 UTC 2023","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"failed","Sun Jul 30 07:14:01 UTC 2023","Sun Jul 30 07:16:45 UTC 2023","163881","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Sun Jul 30 06:10:39 UTC 2023","Sun Jul 30 06:10:39 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"failed","Sun Jul 30 05:55:21 UTC 2023","Sun Jul 30 05:58:05 UTC 2023","164437","","9. Client Portal - Home","","","","1. Check links",""
"skipped","Sun Jul 30 07:35:31 UTC 2023","Sun Jul 30 07:35:31 UTC 2023","1","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"broken","Sun Jul 30 06:17:58 UTC 2023","Sun Jul 30 06:17:59 UTC 2023","596","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Sun Jul 30 06:10:39 UTC 2023","Sun Jul 30 06:10:39 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sun Jul 30 08:20:56 UTC 2023","Sun Jul 30 08:21:19 UTC 2023","22518","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Jul 30 06:57:59 UTC 2023","Sun Jul 30 06:58:04 UTC 2023","4448","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"broken","Sun Jul 30 06:10:39 UTC 2023","Sun Jul 30 06:10:39 UTC 2023","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"skipped","Sun Jul 30 06:10:39 UTC 2023","Sun Jul 30 06:10:39 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
